date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:55	41160/41160	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-a0c8%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Black.518483c970101906810d5896cc08bba9.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Black.518483c970101906810d5896cc08bba9.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:55	91676/91676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fe38b70-1661c%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Black.a82f134fa44af8118e42cbc0e64a6acc.eot	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Black.a82f134fa44af8118e42cbc0e64a6acc.eot	(from https://www.visualcv.com/app/visualcv.css)
12:02:56	91500/91500	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-1656c%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Black.895bd8bccc2aaa402a534077813ede32.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Black.895bd8bccc2aaa402a534077813ede32.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:56	21728/21728	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-54e0%22	https://www.visualcv.com/app/build/assets/fonts/ElegantIcons.d5b68af83313df50a057ce4bcfd3b37a.woff2	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/ElegantIcons.d5b68af83313df50a057ce4bcfd3b37a.woff2	(from https://www.visualcv.com/app/visualcv.css)
12:02:56	63664/63664	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-f8b0%22	https://www.visualcv.com/app/build/assets/fonts/ElegantIcons.fdd9e757bf61675343dcf55100422b84.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/ElegantIcons.fdd9e757bf61675343dcf55100422b84.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:56	59572/59572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fe38b70-e8b4%22	https://www.visualcv.com/app/build/assets/fonts/ElegantIcons.d72ad3f702b9f23540e8ed78b4b65749.eot	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/ElegantIcons.d72ad3f702b9f23540e8ed78b4b65749.eot	(from https://www.visualcv.com/app/visualcv.css)
12:02:56	59388/59388	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-e7fc%22	https://www.visualcv.com/app/build/assets/fonts/ElegantIcons.f9d179f59b0878ffcd32a5b3c8ae9c62.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/ElegantIcons.f9d179f59b0878ffcd32a5b3c8ae9c62.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:57	64464/64464	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-fbd0%22	https://www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.4b5a84aaf1c9485e060c503a0ff8cadb.woff2	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.4b5a84aaf1c9485e060c503a0ff8cadb.woff2	(from https://www.visualcv.com/app/visualcv.css)
12:02:57	81284/81284	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-13d84%22	https://www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.dfb02f8f6d0cedc009ee5887cc68f1f3.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.dfb02f8f6d0cedc009ee5887cc68f1f3.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:57	68875/68875	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fe38b70-10d0b%22	https://www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.45c73723862c6fc5eb3d6961db2d71fb.eot	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.45c73723862c6fc5eb3d6961db2d71fb.eot	(from https://www.visualcv.com/app/visualcv.css)
12:02:57	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-21bdc%22	https://www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.7c87870ab40d63cfb8870c1f183f9939.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/fontawesome-webfont.7c87870ab40d63cfb8870c1f183f9939.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:58	5048/5048	---M-Z	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-13b8%22	https://www.visualcv.com/app/build/assets/fonts/icons.35f7b03d9a036afc0144413a25e5d494.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/icons.35f7b03d9a036afc0144413a25e5d494.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:58	4972/4972	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-136c%22	https://www.visualcv.com/app/build/assets/fonts/icons.406d595e2d129fbdce550103ac442f74.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/icons.406d595e2d129fbdce550103ac442f74.ttf	(from https://www.visualcv.com/app/visualcv.css)
